Hours per Week,Age,Workclass,Highest Degree,Marital Status,Race,Gender,Native Country,Occupation,Income Actual,Income Adjust,Income,ML Pred
12,50,Federal Government,High School Graduate,Never Married,Black,Female,United States,Administrative/Clerical,14778,25124.24749,0,0
40,50,Private,High School Graduate,Widowed,White,Female,United States,Other Services,12166,20683.5563,0,0
40,23,Private,High School Graduate,Never Married,White,Male,United States,Executive/Managerial,9714,16514.88294,0,0
14,20,Private,High School Graduate,Never Married,Black,Female,United States,Sales,2500,4250.278707,0,0
40,38,Private,High School Graduate,Never Married,White,Male,United States,Other Services,20572,34974.69342,0,0
40,69,Private,Less than High School,Never Married,White,Male,United States,Craft/Repair,22225,37784.9777,0,0
40,48,Private,High School Graduate,Never Married,Black,Female,United States,Executive/Managerial,23040,39170.56856,0,0
30,20,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,2982,5069.732441,0,0
40,32,Private,Less than High School,Married,White,Male,United States,Farming/Fishing,13827,23507.44147,0,0
32,27,Private,High School Graduate,Never Married,Black,Female,Dominican Republic,Sales,4940,8398.550725,0,0
40,39,Private,High School Graduate,Divorced,White,Female,United States,Sales,9800,16661.09253,0,0
70,32,Private,High School Graduate,Separated,Black,Female,United States,Machine Operator/Inspector,21421,36418.08807,0,0
10,18,Private,High School Graduate,Never Married,White,Female,United States,Administrative/Clerical,1490,2533.166109,0,0
38,23,Private,Less than High School,Never Married,White,Female,United States,Other Services,5100,8670.568562,0,0
30,22,Private,High School Graduate,Never Married,White,Female,United States,Sales,6609,11236.03679,0,0
30,26,Private,High School Graduate,Separated,Black,Male,United States,Sales,4800,8160.535117,0,0
40,20,Private,Less than High School,Never Married,White,Male,United States,Other Services,7500,12750.83612,0,0
40,51,Local Government,High School Graduate,Divorced,Black,Male,United States,Transport/Moving,9000,15301.00334,0,0
40,20,Private,High School Graduate,Never Married,White,Male,United States,Sales,7000,11900.78038,0,0
40,25,Private,High School Graduate,Never Married,Black,Female,United States,Handler/Cleaner,5000,8500.557414,0,0
36,26,Private,High School Graduate,Never Married,White,Male,United States,Craft/Repair,15120,25705.68562,0,0
80,23,Private,High School Graduate,Divorced,White,Female,United States,Other Services,5000,8500.557414,0,0
30,58,Self Employed (Unincorporated),High School Graduate,Married,Asian/Pacific Islander,Male,United States,Farming/Fishing,13200,22441.47157,0,0
40,66,Private,Less than High School,Separated,White,Female,United States,Machine Operator/Inspector,22009,37417.75362,0,0
40,47,Private,High School Graduate,Divorced,White,Female,United States,Administrative/Clerical,15000,25501.67224,0,0
